id,sku,marca,descripcion,variantes,costo,categoria,imagen
279,PROD-0001,Mae,MAE LÁPIZ ADHESIVO MAE 9G,NULL,$10.33,Pegamentos,/Imagenes_Catalogo/Mae/Adhesivo/A0201.webp
280,PROD-0002,Mae,MAE LÁPIZ ADHESIVO MAE 20G,NULL,$25.11,Pegamentos,/Imagenes_Catalogo/Mae/Adhesivo/A0202.webp
281,PROD-0003,Mae,MAE LÁPIZ ADHESIVO MAE 40G,NULL,$34.41,Pegamentos,/Imagenes_Catalogo/Mae/Adhesivo/A0203.webp
282,PROD-0004,Mae,MAE GOMA BLANCA C/30 GM-30BE,NULL,$150.66,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0301.webp
283,PROD-0005,Mae,MAE GOMA BLANCA GM-30BE SUELTA,NULL,$10.33,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0302.webp
284,PROD-0006,Mae,MAE GOMA TIPO MIGAJÓN C/40 GM-40MJ,NULL,$150.66,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0303.webp
285,PROD-0007,Mae,MAE GOMA TIPO MIGAJÓN GM-40MJ SUELTO,NULL,$10.33,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0304.webp
286,PROD-0008,Mae,MAE GOMA TIPO MIGAJÓN C/20 GM-20MJ,NULL,$150.66,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0305.webp
287,PROD-0009,Mae,MAE GOMA TIPO MIGAJÓN GM-20MJ SUELTO,NULL,$10.33,Borradores,/Imagenes_Catalogo/Mae/Borrador/A0306.webp
288,PROD-0010,Mae,MAE CALCULADORA MC-1000,NULL,$53.94,Calculadoras,/Imagenes_Catalogo/Mae/Calculadoras/A0401.webp
289,PROD-0011,Mae,MAE CALCULADORA CIENTÍFICA MCC-56,NULL,$87.42,Calculadoras,/Imagenes_Catalogo/Mae/Calculadoras/A0402.webp
290,PROD-0012,Mae,MAE COMPAS ECO CBL PARA LAPIZ,NULL,$18.60,Geometria,/Imagenes_Catalogo/Mae/Compas/A0501.webp
291,PROD-0013,Mae,MAE COMPÁS ESCOLAR CEP-10,NULL,$30.69,Geometria,/Imagenes_Catalogo/Mae/Compas/A0502.webp
292,PROD-0014,Mae,MAE COMPAS PRECISIÓN PLASTICO CPP-2,NULL,$28.83,Geometria,/Imagenes_Catalogo/Mae/Compas/A0503.webp
